trial,knowledge,reward,steps_in_trial,phase,steps,numerosity,reliable
73,0.4271708683473389,-10,189.9,explore,189.9,2230.9,111.0
74,0.4271708683473389,-1,200.0,explore,200.0,2234.4,113.7
75,0.43417366946778707,-1,200.0,explore,200.0,2240.8,115.3
76,0.44117647058823534,-1,192.1,explore,192.1,2247.2,117.7
77,0.4481792717086835,-1,200.0,explore,200.0,2252.6,119.5
78,0.4481792717086835,-10,200.0,explore,200.0,2258.2,121.6
79,0.46218487394957986,-10,200.0,explore,200.0,2259.3,123.9
80,0.469187675070028,-1,200.0,explore,200.0,2267.4,126.7
81,0.469187675070028,-10,200.0,explore,200.0,2269.6,128.1
82,0.48319327731092443,-1,200.0,explore,200.0,2273.4,130.1
83,0.48319327731092443,-1,200.0,explore,200.0,2275.9,132.7
84,0.5252100840336136,-10,200.0,explore,200.0,2277.3,137.6
85,0.5252100840336136,-1,200.0,explore,200.0,2282.8,140.7
86,0.546218487394958,-1,194.0,explore,194.0,2286.5,143.6
87,0.5672268907563025,-1,190.2,explore,190.2,2286.2,146.3
88,0.6092436974789915,-10,200.0,explore,200.0,2291.6,149.2
89,0.6512605042016807,-10,200.0,explore,200.0,2292.1,154.7
90,0.700280112044818,-1,200.0,explore,200.0,2293.6,158.7
91,0.7072829131652661,-10,200.0,explore,200.0,2295.1,162.1
92,0.7072829131652661,-10,200.0,explore,200.0,2297.4,164.7
93,0.7703081232492999,-10,200.0,explore,200.0,2299.2,168.8
94,0.7913165266106443,-10,188.6,explore,188.6,2302.5,172.4
95,0.8053221288515404,-10,188.4,explore,188.4,2303.9,176.1
96,0.8053221288515404,-1,200.0,explore,200.0,2305.0,178.8
97,0.8473389355742296,-1,200.0,explore,200.0,2306.3,183.4
98,0.8683473389355741,-1,200.0,explore,200.0,2307.2,186.2
99,0.8823529411764707,-1,200.0,explore,200.0,2309.8,189.6
100,0.896358543417367,-10,190.6,explore,190.6,2311.2,194.0
101,0.938375350140056,-1,200.0,explore,200.0,2317.0,197.1
102,0.938375350140056,-10,200.0,explore,200.0,2316.2,200.8
103,0.9663865546218486,-1,190.1,explore,190.1,2319.3,203.2
104,1.0014005602240896,-1,200.0,explore,200.0,2320.6,207.6
105,1.0294117647058825,-10,200.0,explore,200.0,2323.1,210.3
106,1.1204481792717087,-1,186.4,explore,186.4,2325.9,216.4
107,1.1624649859943976,-1,187.4,explore,187.4,2328.4,219.9
108,1.176470588235294,-1,199.2,explore,199.2,2329.5,224.3
109,1.2885154061624646,-1,200.0,explore,200.0,2329.6,229.7
110,1.2955182072829132,-1,176.9,explore,176.9,2330.5,233.0
111,1.3655462184873945,-10,200.0,explore,200.0,2331.4,237.1
112,1.372549019607843,-10,190.7,explore,190.7,2334.6,240.8
113,1.4705882352941178,-1,187.8,explore,187.8,2335.1,245.2
114,1.6526610644257704,-1,200.0,explore,200.0,2334.9,251.8
115,1.7086834733893561,-1,199.7,explore,199.7,2337.0,256.6
116,1.8067226890756305,-10,200.0,explore,200.0,2337.5,262.2
117,1.827731092436975,-10,189.0,explore,189.0,2339.2,266.7
118,1.904761904761905,-10,200.0,explore,200.0,2340.7,271.8
119,1.9117647058823533,-10,192.5,explore,192.5,2344.5,275.2
120,1.974789915966387,-10,200.0,explore,200.0,2347.2,280.6
121,2.0378151260504205,-1,195.4,explore,195.4,2348.2,285.1
122,2.0798319327731094,-10,178.8,explore,178.8,2349.5,289.3
123,2.135854341736695,-10,191.9,explore,191.9,2349.7,295.9
124,2.184873949579832,-1,193.3,explore,193.3,2350.6,299.7
125,2.2338935574229692,-1,200.0,explore,200.0,2350.8,304.3
126,2.331932773109244,-1,200.0,explore,200.0,2351.2,309.2
127,2.3739495798319328,-1,200.0,explore,200.0,2354.5,312.3
128,2.542016806722689,-1,200.0,explore,200.0,2355.6,319.4
129,2.5560224089635852,-10,200.0,explore,200.0,2356.8,322.4
130,2.647058823529412,-1,190.1,explore,190.1,2356.7,327.2
131,2.7030812324929974,-1,200.0,explore,200.0,2357.8,331.7
132,2.738095238095238,-10,198.1,explore,198.1,2358.1,335.9
133,2.8081232492997197,-10,200.0,explore,200.0,2357.5,342.1
134,2.948179271708683,-10,200.0,explore,200.0,2359.0,347.0
135,2.969187675070028,-10,200.0,explore,200.0,2360.3,351.0
136,3.0462184873949583,-1,200.0,explore,200.0,2360.7,355.5
137,3.1092436974789917,-10,196.7,explore,196.7,2362.4,359.8
138,3.2002801120448177,-1,200.0,explore,200.0,2362.1,364.6
139,3.2492997198879556,20,186.3,explore,186.3,2362.5,368.4
140,3.3473389355742293,-1,189.6,explore,189.6,2362.8,372.7
141,3.3963585434173664,-1,191.8,explore,191.8,2364.4,376.9
142,3.50140056022409,-1,200.0,explore,200.0,2365.2,383.6
143,3.57843137254902,-10,196.5,explore,196.5,2366.7,389.1
